집계구코드,residential_pop,lon,lat,a_classic,a_thermal_h10,a_thermal_h13,a_thermal_h14,aal_h10,tarr_h10,aal_h13,tarr_h13,aal_h14,tarr_h14,category
1104057020002,13.2,127.03031068802716,37.55442609687923,239.5335,239.5335,159.4395,72.0584,0.0,0.0,80.094,33.44,167.4751,69.92,thermal_robust
1104057020001,339.4,127.03264307735512,37.55739700021859,256.1781,256.1781,171.0698,78.9066,0.0,0.0,85.1083,33.22,177.2715,69.2,thermal_robust
1104057020104,625.2,127.0320213308072,37.55425982668655,245.7049,245.7049,157.7032,73.4831,0.0,0.0,88.0017,35.82,172.2218,70.09,thermal_robust
1104057020102,363.6,127.03219824228724,37.55355700828617,240.4911,240.4911,156.6698,73.0452,0.0,0.0,83.8213,34.85,167.4459,69.63,thermal_robust
1104057020103,642.4,127.03283809112634,37.55438323981688,258.8815,258.8815,170.1363,76.3044,0.0,0.0,88.7452,34.28,182.5771,70.53,thermal_robust
1104057020101,964.7,127.03383337317167,37.555002273032656,258.0527,258.0527,169.9862,76.2474,0.0,0.0,88.0665,34.13,181.8053,70.45,thermal_robust
1104057020202,648.3,127.03326415079444,37.555777306898094,268.5924,268.5924,181.7488,81.2159,0.0,0.0,86.8436,32.33,187.3765,69.76,thermal_robust
1104057020203,515.6,127.03164643869316,37.55467775066194,251.2395,251.2395,173.6288,77.9655,0.0,0.0,77.6107,30.89,173.274,68.97,thermal_robust
1104057020201,10.7,127.0326436409888,37.55519340375085,261.293,261.293,179.442,81.0673,0.0,0.0,81.851,31.33,180.2257,68.97,thermal_robust
1104057020306,210.8,127.030864315343,37.55612067156302,246.9719,246.9719,187.6508,60.245,0.0,0.0,59.3211,24.02,186.7269,75.61,thermal_robust
1104057020307,273.1,127.02680690590935,37.55487750602682,243.5952,243.5952,179.2921,58.8409,0.0,0.0,64.3031,26.4,184.7543,75.84,thermal_robust
1104057020304,244.4,127.02617744172356,37.5551528149872,230.4686,230.4686,170.2264,56.5582,0.0,0.0,60.2422,26.14,173.9104,75.46,thermal_robust
1104057020305,5.2,127.02845841896745,37.55602705247592,238.1869,238.1869,172.5575,56.9336,0.0,0.0,65.6294,27.55,181.2533,76.1,thermal_robust
1104057020302,6.2,127.02867827599574,37.55542131036787,244.4178,244.4178,189.4767,65.7344,0.0,0.0,54.9411,22.48,178.6834,73.11,thermal_robust
1104057020303,20.5,127.03094471752688,37.5555156293687,240.0757,240.0757,181.7652,60.1413,0.0,0.0,58.3105,24.29,179.9344,74.95,thermal_robust
1104057020301,1465.3,127.02993641547408,37.55627754625827,253.6545,253.6545,195.9799,59.0442,0.0,0.0,57.6746,22.74,194.6103,76.72,thermal_robust
1104057020312,474.1,127.02659683015108,37.555546906391534,227.6247,227.6247,166.7532,54.7476,0.0,0.0,60.8715,26.74,172.8771,75.95,thermal_robust
1104057020313,244.4,127.02587613753164,37.55549857940326,229.8366,229.8366,169.147,56.3869,0.0,0.0,60.6896,26.41,173.4497,75.47,thermal_robust
1104057020314,750.6,127.0294306315453,37.55701865058805,242.5675,242.5675,183.1893,54.9208,0.0,0.0,59.3782,24.48,187.6467,77.36,thermal_robust
1104057020315,939.4,127.02970062392036,37.55546717273008,243.7308,243.7308,189.9943,66.6961,0.0,0.0,53.7365,22.05,177.0347,72.64,thermal_robust
1104057020308,538.3,127.02952028758604,37.55646956038131,242.5675,242.5675,183.1893,54.9208,0.0,0.0,59.3782,24.48,187.6467,77.36,thermal_robust
