집계구코드,residential_pop,lon,lat,n_classic_stops,n_thermal_stops,a_classic,a_thermal,aal,tarr,category
1104058020003,10.1,127.03019565438252,37.55263740227938,302,215,250.245,169.3738,80.8712,32.32,moderate
1104058020001,930.8,127.03041835128802,37.552050667651464,310,199,253.9787,155.2989,98.6798,38.85,moderate
1104058020102,34.4,127.03292150304227,37.55347004208157,325,13,261.6918,12.504,249.1878,95.22,thermal_prone
1104058020101,635.0,127.03201392235036,37.55216260560584,286,13,223.7883,12.1449,211.6434,94.57,thermal_prone
1104058020201,28.7,127.02951252484804,37.54961494631983,318,178,263.9919,140.6683,123.3236,46.71,thermal_prone
1104058020202,855.2,127.0296869653915,37.550994369057776,309,206,255.7784,160.6173,95.1611,37.2,moderate
1104058020203,335.8,127.0294524975764,37.550148283310186,293,188,242.0441,151.4645,90.5796,37.42,moderate
1104058020304,1063.6,127.0311656745636,37.55075705858972,263,0,208.5735,0.0,208.5735,100.0,thermal_prone
1104058020302,1018.9,127.03037447214986,37.55042950152441,310,0,252.7822,0.0,252.7822,100.0,thermal_prone
1104058020303,783.6,127.0316590851373,37.551330476978045,272,0,219.1224,0.0,219.1224,100.0,thermal_prone
1104058020301,995.3,127.03081627422904,37.55160040861412,254,0,201.1025,0.0,201.1025,100.0,thermal_prone
1104058030003,565.5,127.03063989520126,37.54880080221942,305,13,246.3829,12.6234,233.7595,94.88,thermal_prone
1104058030002,287.7,127.0336096542667,37.5489825420089,333,13,264.698,12.5962,252.1018,95.24,thermal_prone
1104058030001,291.3,127.0319647800405,37.5495744938144,328,13,265.0447,12.7454,252.2993,95.19,thermal_prone
1104058030105,17.6,127.03282375042303,37.55125207155656,317,13,251.1113,12.3949,238.7164,95.06,thermal_prone
1104058030104,76.8,127.03211653761328,37.55039948429767,312,13,245.4175,12.4638,232.9537,94.92,thermal_prone
1104058030103,6.8,127.0329745979132,37.552200341466104,306,13,243.9208,12.3621,231.5587,94.93,thermal_prone
1104058030102,124.1,127.03433862629828,37.55259368403599,328,13,258.1635,12.0924,246.0711,95.32,thermal_prone
1104058030101,17.2,127.03402670569204,37.553575230308994,303,13,238.4497,11.9701,226.4796,94.98,thermal_prone
1104058030106,15.1,127.03344795036202,37.552278611820995,337,13,268.2168,12.3861,255.8307,95.38,thermal_prone
1104059010001,3530.6,127.02311677532887,37.55425181277799,296,200,244.97,167.7384,77.2316,31.53,moderate
1104059020004,14.1,127.02424601639872,37.55678984243635,289,209,240.679,173.4949,67.1841,27.91,moderate
1104059020005,862.9,127.02194180606791,37.55639078062016,262,163,209.599,133.6958,75.9032,36.21,moderate
1104059020002,3.9,127.0202559290585,37.557336541979225,254,162,202.421,131.5892,70.8318,34.99,moderate
1104059020003,3.7,127.02034831075122,37.556984266288154,257,163,206.9211,133.846,73.0751,35.32,moderate
1104059020001,11.2,127.02446296818736,37.556140511200965,294,210,244.9173,174.7553,70.162,28.65,moderate
1104059020301,1115.1,127.02261496443448,37.555965819763415,283,191,232.4962,159.8924,72.6038,31.23,moderate
1104059030002,17.5,127.02837635226896,37.5531821623159,287,195,238.5803,151.4716,87.1087,36.51,moderate
1104059030001,1150.2,127.02621034978286,37.55031174621454,281,159,238.254,134.9616,103.2924,43.35,thermal_prone
1104059030103,1603.8,127.02712441079883,37.54950751456074,270,160,227.9534,133.8075,94.1459,41.3,moderate
1104059030102,50.0,127.02821073495056,37.549045093788514,298,0,251.0697,0.0,251.0697,100.0,thermal_prone
1104059030101,31.5,127.02709189026892,37.548590447384406,283,155,240.9828,128.023,112.9598,46.87,thermal_prone
1104059030207,1266.5,127.02697175388204,37.55143721602141,265,178,219.4306,147.9859,71.4447,32.56,moderate
1104059030205,57.5,127.02830380730444,37.5500963046935,273,162,227.0455,133.8001,93.2454,41.07,moderate
1104059030204,46.8,127.02605720694342,37.55459343909667,276,198,228.4605,163.6681,64.7924,28.36,moderate
1104059030203,9.9,127.02554724617777,37.554180523989814,276,198,228.4605,163.6681,64.7924,28.36,moderate
1104059030202,244.4,127.02739906496944,37.550947251866155,276,180,230.8076,150.6051,80.2025,34.75,moderate
1104059030201,528.9,127.02614174738078,37.552198165079666,274,174,224.0929,145.7237,78.3692,34.97,moderate
1104059030213,394.9,127.02650766537228,37.55317319180003,263,181,215.0792,147.8562,67.223,31.25,moderate
1104059030212,8.7,127.02659080892444,37.55383158760176,270,191,222.199,157.9363,64.2627,28.92,moderate
1104059030209,20.2,127.02731366955726,37.552849356222886,278,185,229.4077,154.2731,75.1346,32.75,moderate
1104059030208,272.6,127.02537454666738,37.55502075602306,296,207,247.9747,173.7904,74.1843,29.92,moderate
1104059030211,486.8,127.02792852613828,37.552341976112615,262,178,215.1964,147.1317,68.0647,31.63,moderate
1104059030210,1058.5,127.02839337927166,37.55121429502892,269,177,222.9861,147.4727,75.5134,33.86,moderate
1104062010001,1452.5,127.0180083798173,37.54662486049356,234,163,197.2826,135.161,62.1216,31.49,moderate
1104062010003,43.1,127.01687478333724,37.54787853282521,234,166,196.0057,138.4872,57.5185,29.35,moderate
1104062010002,943.9,127.02019691399582,37.54774085067784,240,171,207.5741,141.026,66.5481,32.06,moderate
1104062010004,313.5,127.01891110311924,37.54793032786091,240,175,204.574,145.7892,58.7848,28.74,moderate
1104062010101,273.8,127.01727719510532,37.547027067025994,231,163,193.4307,137.3941,56.0366,28.97,moderate
1104062020002,5.8,127.01604165917718,37.54580756021818,190,92,159.0373,76.1247,82.9126,52.13,thermal_prone
1104062020001,864.9,127.0153505002506,37.54779178108751,222,83,184.9539,67.967,116.9869,63.25,thermal_prone
1104062020201,1078.2,127.0158384672445,37.546793489565715,185,91,152.9021,75.3565,77.5456,50.72,thermal_prone
1104062030003,35.3,127.02247907338564,37.546927722909984,252,170,217.251,139.4906,77.7604,35.79,moderate
1104062030002,273.6,127.02081955692351,37.54719204190818,243,180,209.8315,146.3043,63.5272,30.28,moderate
1104062030001,1163.0,127.0272636114248,37.54486403617943,266,0,212.3387,0.0,212.3387,100.0,thermal_prone
1104062030109,180.4,127.02269368150404,37.54658121986081,255,159,217.1684,130.3764,86.792,39.97,moderate
1104062030108,284.9,127.02233379271463,37.54676611785129,255,161,218.4018,132.6095,85.7923,39.28,moderate
1104062030107,0.8,127.02146943478824,37.546751862928474,245,179,211.3054,145.0775,66.2279,31.34,moderate
1104062030106,273.7,127.02030099108184,37.54641397327467,240,174,204.9388,141.7571,63.1817,30.83,moderate
